District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Nandurabar,,,AKKALKUWA,2,319481,1,374,0,2,376,,Candidate_2,,351,275,626,,626
Nandurabar,,,AKKALKUWA,2,319481,2,252,0,2,254,,Candidate_2,,351,275,626,,626
