District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,1,521,0,4,525,0,,,0,518,518,0,518
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,2,525,0,5,530,0,,,0,525,525,0,525
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,3,472,0,6,478,0,,,0,472,472,0,472
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,4,483,0,0,483,0,,,0,483,483,0,483
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,5,484,0,13,497,0,,,0,484,484,0,484
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,6,484,0,8,492,0,,,0,484,484,0,484
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,7,454,0,5,459,0,,,0,454,454,0,454
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,8,493,0,6,499,0,,,0,493,493,0,493
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,9,414,0,3,417,0,,,0,414,414,0,414
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,10,501,0,2,503,0,,,0,501,501,0,501
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,11,421,0,3,424,0,,,0,421,421,0,421
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,12,430,0,3,433,0,,,0,430,430,0,430
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,13,593,0,4,597,0,,,0,593,593,0,593
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,14,713,0,10,723,0,,,0,713,713,0,713
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,15,368,0,6,374,0,,,0,368,368,0,368
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,16,480,0,10,490,0,,,0,480,480,0,480
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,17,518,0,12,530,0,,,0,518,518,0,518
Mumbai City,,,DHARAVI (SC) Assembly Election,178,,18,672,0,13,685,0,,,0,672,672,0,672
