District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Mumbai Suburban,,,GOREGAON,163,,1,632,0,9,641,0,,,0,622,622,0,622
Mumbai Suburban,,,GOREGAON,163,,2,724,0,13,737,0,,,0,670,670,0,670
Mumbai Suburban,,,GOREGAON,163,,3,720,0,4,724,0,,,0,747,747,0,747
Mumbai Suburban,,,GOREGAON,163,,4,510,0,6,516,0,,,0,485,485,0,485
Mumbai Suburban,,,GOREGAON,163,,5,466,0,8,474,0,,,0,456,456,0,456
Mumbai Suburban,,,GOREGAON,163,,6,494,0,5,499,0,,,0,449,449,0,449
Mumbai Suburban,,,GOREGAON,163,,7,573,0,11,584,0,,,0,539,539,0,539
Mumbai Suburban,,,GOREGAON,163,,8,487,0,4,491,0,,,0,453,453,0,453
Mumbai Suburban,,,GOREGAON,163,,9,665,0,13,678,0,,,0,619,619,0,619
Mumbai Suburban,,,GOREGAON,163,,10,672,0,11,683,0,,,0,617,617,0,617
Mumbai Suburban,,,GOREGAON,163,,11,485,0,6,491,0,,,0,437,437,0,437
Mumbai Suburban,,,GOREGAON,163,,12,399,0,3,402,0,,,0,359,359,0,359
Mumbai Suburban,,,GOREGAON,163,,13,681,0,11,692,0,,,0,612,612,0,612
Mumbai Suburban,,,GOREGAON,163,,14,337,0,4,341,0,,,0,318,318,0,318
Mumbai Suburban,,,GOREGAON,163,,15,605,0,4,609,0,,,0,596,596,0,596
Mumbai Suburban,,,GOREGAON,163,,16,500,0,4,504,0,,,0,483,483,0,483
Mumbai Suburban,,,GOREGAON,163,,17,253,0,2,255,0,,,0,245,245,0,245
Mumbai Suburban,,,GOREGAON,163,,18,716,0,9,725,0,,,0,488,488,0,488
Mumbai Suburban,,,GOREGAON,163,,19,732,0,5,737,0,,,0,710,710,0,710
