District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Pune,,,Vadgaonsheri,208,,1,635,0,2,637,0,,,0,635,635,0,635
Pune,,,Vadgaonsheri,208,,2,739,0,3,742,0,,,0,739,739,0,739
Pune,,,Vadgaonsheri,208,,3,862,0,8,870,0,,,0,862,862,0,862
Pune,,,Vadgaonsheri,208,,4,702,0,4,706,0,,,0,702,702,0,702
Pune,,,Vadgaonsheri,208,,5,579,0,2,581,0,,,0,579,579,0,579
Pune,,,Vadgaonsheri,208,,5A,371,0,6,377,0,,,0,371,371,0,371
Pune,,,Vadgaonsheri,208,,6,617,0,7,624,0,,,0,617,617,0,617
Pune,,,Vadgaonsheri,208,,7,624,0,10,634,0,,,0,624,624,0,624
Pune,,,Vadgaonsheri,208,,7A,371,0,5,376,0,,,0,370,370,0,370
Pune,,,Vadgaonsheri,208,,8,654,0,7,661,0,,,0,654,654,0,654
Pune,,,Vadgaonsheri,208,,9,663,0,7,670,0,,,0,663,663,0,663
Pune,,,Vadgaonsheri,208,,10,624,0,6,630,0,,,0,624,624,0,624
Pune,,,Vadgaonsheri,208,,11,648,0,7,655,0,,,0,648,648,0,648
Pune,,,Vadgaonsheri,208,,12,669,0,5,674,0,,,0,669,669,0,669
Pune,,,Vadgaonsheri,208,,13,712,0,9,721,0,,,0,711,711,0,711
Pune,,,Vadgaonsheri,208,,14,629,0,8,637,0,,,0,629,629,0,629
Pune,,,Vadgaonsheri,208,,15,568,0,18,586,0,,,0,568,568,0,568
Pune,,,Vadgaonsheri,208,,16,695,0,7,702,0,,,0,696,696,0,696
Pune,,,Vadgaonsheri,208,,17,550,0,9,559,0,,,0,550,550,0,550
Pune,,,Vadgaonsheri,208,,17A,547,0,6,553,0,,,0,547,547,0,547
Pune,,,Vadgaonsheri,208,,18,653,0,5,658,0,,,0,653,653,0,653
Pune,,,Vadgaonsheri,208,,19,916,0,20,936,0,,,0,920,920,0,920
Pune,,,Vadgaonsheri,208,,20,879,0,10,889,0,,,0,880,880,0,880
Pune,,,Vadgaonsheri,208,,21,626,0,5,631,0,,,0,623,623,0,623
Pune,,,Vadgaonsheri,208,,22,786,0,5,791,0,,,0,786,786,0,786
Pune,,,Vadgaonsheri,208,,23,288,0,5,293,0,,,0,292,292,0,292
Pune,,,Vadgaonsheri,208,,23A,405,0,3,408,0,,,0,401,401,0,401
Pune,,,Vadgaonsheri,208,,24,723,0,10,733,0,,,0,724,724,0,724
Pune,,,Vadgaonsheri,208,,25,719,0,15,734,0,,,0,718,718,0,718
Pune,,,Vadgaonsheri,208,,26,644,0,13,657,0,,,0,642,642,0,642
Pune,,,Vadgaonsheri,208,,27,581,0,3,584,0,,,0,580,580,0,580
Pune,,,Vadgaonsheri,208,,28,693,0,11,704,0,,,0,689,689,0,689
