District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Osmanabad,,,UMARGA (SC),240,,1,637,0,5,642,0,,,0,637,637,0,637
Osmanabad,,,UMARGA (SC),240,,2,400,0,5,405,0,,,0,399,399,0,399
Osmanabad,,,UMARGA (SC),240,,3,815,0,1,816,0,,,0,815,815,0,815
Osmanabad,,,UMARGA (SC),240,,4,676,0,5,681,0,,,0,676,676,0,676
Osmanabad,,,UMARGA (SC),240,,5,608,0,5,613,0,,,0,608,608,0,608
Osmanabad,,,UMARGA (SC),240,,6,694,0,11,705,0,,,0,694,694,0,694
Osmanabad,,,UMARGA (SC),240,,7,691,0,4,695,0,,,0,691,691,0,691
Osmanabad,,,UMARGA (SC),240,,8,386,0,5,391,0,,,0,386,386,0,386
Osmanabad,,,UMARGA (SC),240,,9,326,0,8,334,0,,,0,326,326,0,326
Osmanabad,,,UMARGA (SC),240,,10,715,0,2,717,0,,,0,715,715,0,715
Osmanabad,,,UMARGA (SC),240,,11,644,0,6,650,0,,,0,644,644,0,644
Osmanabad,,,UMARGA (SC),240,,12,506,0,7,513,0,,,0,506,506,0,506
Osmanabad,,,UMARGA (SC),240,,13,714,0,2,716,0,,,0,714,714,0,714
Osmanabad,,,UMARGA (SC),240,,14,716,0,5,721,0,,,0,716,716,0,716
Osmanabad,,,UMARGA (SC),240,,15,894,0,6,900,0,,,0,894,894,0,894
Osmanabad,,,UMARGA (SC),240,,16,685,0,1,686,0,,,0,685,685,0,685
Osmanabad,,,UMARGA (SC),240,,17,890,0,10,900,0,,,0,891,891,0,891
Osmanabad,,,UMARGA (SC),240,,18,692,0,4,696,0,,,0,692,692,0,692
Osmanabad,,,UMARGA (SC),240,,19,617,0,5,622,0,,,0,617,617,0,617
Osmanabad,,,UMARGA (SC),240,,20,649,0,8,657,0,,,0,649,649,0,649
Osmanabad,,,UMARGA (SC),240,,21,662,0,5,667,0,,,0,662,662,0,662
Osmanabad,,,UMARGA (SC),240,,22,831,0,1,832,0,,,0,831,831,0,831
Osmanabad,,,UMARGA (SC),240,,23,498,0,8,506,0,,,0,498,498,0,498
Osmanabad,,,UMARGA (SC),240,,24,540,0,2,542,0,,,0,540,540,0,540
Osmanabad,,,UMARGA (SC),240,,25,624,0,1,625,0,,,0,624,624,0,624
Osmanabad,,,UMARGA (SC),240,,26,774,0,8,782,0,,,0,774,774,0,774
Osmanabad,,,UMARGA (SC),240,,27,833,0,8,841,0,,,0,833,833,0,833
Osmanabad,,,UMARGA (SC),240,,28,589,0,1,590,0,,,0,589,589,0,589
Osmanabad,,,UMARGA (SC),240,,29,611,0,5,616,0,,,0,611,611,0,611
Osmanabad,,,UMARGA (SC),240,,30,542,0,3,545,0,,,0,542,542,0,542
Osmanabad,,,UMARGA (SC),240,,31,368,0,0,368,0,,,0,368,368,0,368
Osmanabad,,,UMARGA (SC),240,,32,547,0,5,552,0,,,0,547,547,0,547
Osmanabad,,,UMARGA (SC),240,,33,720,0,3,723,0,,,0,720,720,0,720
Osmanabad,,,UMARGA (SC),240,,34,722,0,5,727,0,,,0,722,722,0,722
Osmanabad,,,UMARGA (SC),240,,35,571,0,9,580,0,,,0,571,571,0,571
Osmanabad,,,UMARGA (SC),240,,36,758,0,4,762,0,,,0,758,758,0,758
Osmanabad,,,UMARGA (SC),240,,37,695,0,9,704,0,,,0,695,695,0,695
Osmanabad,,,UMARGA (SC),240,,38,652,0,5,657,0,,,0,652,652,0,652
Osmanabad,,,UMARGA (SC),240,,39,609,0,7,616,0,,,0,609,609,0,609
Osmanabad,,,UMARGA (SC),240,,40,808,0,4,812,0,,,0,808,808,0,808
Osmanabad,,,UMARGA (SC),240,,41,739,0,2,741,0,,,0,739,739,0,739
Osmanabad,,,UMARGA (SC),240,,42,829,0,7,836,0,,,0,829,829,0,829
Osmanabad,,,UMARGA (SC),240,,43,619,0,6,625,0,,,0,619,619,0,619
Osmanabad,,,UMARGA (SC),240,,44,525,0,6,531,0,,,0,525,525,0,525
Osmanabad,,,UMARGA (SC),240,,45,467,0,1,468,0,,,0,467,467,0,467
Osmanabad,,,UMARGA (SC),240,,46,667,0,3,670,0,,,0,667,667,0,667
Osmanabad,,,UMARGA (SC),240,,47,384,0,1,385,0,,,0,384,384,0,384
Osmanabad,,,UMARGA (SC),240,,48,828,0,7,835,0,,,0,828,828,0,828
Osmanabad,,,UMARGA (SC),240,,49,764,0,6,770,0,,,0,764,764,0,764
Osmanabad,,,UMARGA (SC),240,,50,588,0,4,592,0,,,0,588,588,0,588
Osmanabad,,,UMARGA (SC),240,,51,513,0,3,516,0,,,0,513,513,0,513
Osmanabad,,,UMARGA (SC),240,,52,495,0,2,497,0,,,0,495,495,0,495
Osmanabad,,,UMARGA (SC),240,,53,619,0,2,621,0,,,0,619,619,0,619
Osmanabad,,,UMARGA (SC),240,,54,730,0,4,734,0,,,0,730,730,0,730
Osmanabad,,,UMARGA (SC),240,,55,686,0,1,687,0,,,0,686,686,0,686
Osmanabad,,,UMARGA (SC),240,,56,692,0,4,696,0,,,0,692,692,0,692
