District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Nashik,,,Igatpuri (S.T.),127,,1,700,0,24,724,0,,,0,706,706,0,706
Nashik,,,Igatpuri (S.T.),127,,2,976,0,28,829,0,,,0,585,585,0,585
Nashik,,,Igatpuri (S.T.),127,,3,998,0,12,988,0,,,0,1012,1012,0,1012
Nashik,,,Igatpuri (S.T.),127,,4,704,0,16,704,0,,,0,785,785,0,785
Nashik,,,Igatpuri (S.T.),127,,5,592,0,4,592,0,,,0,687,687,0,687
Nashik,,,Igatpuri (S.T.),127,,6,914,0,13,914,0,,,0,906,906,0,906
Nashik,,,Igatpuri (S.T.),127,,7,845,0,7,845,0,,,0,772,772,0,772
Nashik,,,Igatpuri (S.T.),127,,8,678,0,15,629,0,,,0,673,673,0,673
Nashik,,,Igatpuri (S.T.),127,,9,678,0,4,678,0,,,0,742,742,0,742
Nashik,,,Igatpuri (S.T.),127,,10,828,0,29,882,0,,,0,845,845,0,845
Nashik,,,Igatpuri (S.T.),127,,11,563,0,15,543,0,,,0,569,569,0,569
Nashik,,,Igatpuri (S.T.),127,,12,714,0,5,719,0,,,0,693,693,0,693
Nashik,,,Igatpuri (S.T.),127,,13,1036,0,18,1054,0,,,0,989,989,0,989
Nashik,,,Igatpuri (S.T.),127,,14,811,0,14,825,0,,,0,785,785,0,785
Nashik,,,Igatpuri (S.T.),127,,15,941,0,14,915,0,,,0,905,905,0,905
Nashik,,,Igatpuri (S.T.),127,,16,688,0,21,709,0,,,0,993,993,0,993
Nashik,,,Igatpuri (S.T.),127,,17,799,0,8,799,0,,,0,886,886,0,886
Nashik,,,Igatpuri (S.T.),127,,18,669,0,8,677,0,,,0,739,739,0,739
Nashik,,,Igatpuri (S.T.),127,,19,781,0,8,593,0,,,0,813,813,0,813
Nashik,,,Igatpuri (S.T.),127,,20,585,0,4,683,0,,,0,710,710,0,710
Nashik,,,Igatpuri (S.T.),127,,21,679,0,4,613,0,,,0,700,700,0,700
Nashik,,,Igatpuri (S.T.),127,,22,609,0,4,628,0,,,0,627,627,0,627
Nashik,,,Igatpuri (S.T.),127,,23,624,0,0,590,0,,,0,659,659,0,659
Nashik,,,Igatpuri (S.T.),127,,24,556,0,0,501,0,,,0,721,721,0,721
