District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
,,,,,,1,639,0,16,655,0,,,0,639,639,0,639
,,,,,,2,507,0,6,513,0,,,0,504,504,0,504
,,,,,,3,564,0,12,576,0,,,0,564,564,0,564
,,,,,,4,717,0,13,730,0,,,0,715,715,0,715
,,,,,,5,599,0,7,606,0,,,0,598,598,0,598
,,,,,,6,461,0,5,466,0,,,0,461,461,0,461
,,,,,,7,551,0,8,559,0,,,0,550,550,0,550
,,,,,,8,544,0,9,553,0,,,0,543,543,0,543
,,,,,,9,684,0,7,691,0,,,0,681,681,0,681
,,,,,,10,456,0,4,460,0,,,0,456,456,0,456
,,,,,,11,471,0,6,477,0,,,0,470,470,0,470
,,,,,,12,396,0,1,397,0,,,0,393,393,0,393
,,,,,,13,368,0,5,373,0,,,0,366,366,0,366
,,,,,,14,511,0,4,515,0,,,0,509,509,0,509
,,,,,,15,394,0,2,396,0,,,0,394,394,0,394
,,,,,,16,653,0,8,661,0,,,0,653,653,0,653
,,,,,,17,689,0,8,697,0,,,0,688,688,0,688
,,,,,,18,718,0,5,723,0,,,0,718,718,0,718
,,,,,,19,606,0,10,616,0,,,0,601,601,0,601
,,,,,,20,438,0,13,451,0,,,0,438,438,0,438
,,,,,,21,352,0,15,367,0,,,0,351,351,0,351
,,,,,,22,132,0,2,134,0,,,0,132,132,0,132
,,,,,,23,531,0,9,540,0,,,0,531,531,0,531
,,,,,,24,312,0,6,318,0,,,0,311,311,0,311
,,,,,,25,187,0,6,193,0,,,0,187,187,0,187
,,,,,,26,605,0,7,612,0,,,0,605,605,0,605
,,,,,,27,663,0,5,668,0,,,0,663,663,0,663
,,,,,,28,328,0,5,333,0,,,0,328,328,0,328
,,,,,,29,610,0,6,616,0,,,0,608,608,0,608
,,,,,,30,459,0,7,466,0,,,0,459,459,0,459
,,,,,,31,599,0,9,608,0,,,0,598,598,0,598
,,,,,,32,826,0,16,842,0,,,0,826,826,0,826
,,,,,,33,554,0,8,562,0,,,0,552,552,0,552
,,,,,,34,515,0,10,525,0,,,0,514,514,0,514
,,,,,,35,517,0,10,527,0,,,0,517,517,0,517
,,,,,,36,563,0,13,576,0,,,0,561,561,0,561
,,,,,,37,466,0,7,473,0,,,0,466,466,0,466
,,,,,,38,627,0,9,636,0,,,0,627,627,0,627
,,,,,,39,493,0,4,497,0,,,0,493,493,0,493
,,,,,,40,596,0,11,607,0,,,0,595,595,0,595
,,,,,,41,524,0,2,526,0,,,0,527,527,0,527
,,,,,,42,614,0,9,623,0,,,0,614,614,0,614
,,,,,,43,576,0,3,579,0,,,0,576,576,0,576
,,,,,,44,589,0,15,604,0,,,0,588,588,0,588
,,,,,,45,701,0,4,705,0,,,0,702,702,0,702
,,,,,,46,541,0,4,545,0,,,0,541,541,0,541
,,,,,,47,610,0,6,616,0,,,0,608,608,0,608
,,,,,,48,722,0,7,729,0,,,0,719,719,0,719
,,,,,,49,661,0,10,671,0,,,0,661,661,0,661
,,,,,,50,684,0,7,691,0,,,0,685,685,0,685
,,,,,,51,620,0,7,627,0,,,0,618,618,0,618
,,,,,,52,741,0,10,751,0,,,0,741,741,0,741
,,,,,,53,754,0,12,766,0,,,0,753,753,0,753
,,,,,,54,695,0,8,703,0,,,0,694,694,0,694
,,,,,,55,604,0,3,607,0,,,0,604,604,0,604
,,,,,,56,443,0,7,450,0,,,0,443,443,0,443
