District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Nagpur,,,NAGPUR NORTH (SC),57,,1,842,0,4,846,0,,,0,842,842,0,842
Nagpur,,,NAGPUR NORTH (SC),57,,2,619,0,0,619,0,,,0,619,619,0,619
Nagpur,,,NAGPUR NORTH (SC),57,,3,449,0,2,451,0,,,0,449,449,0,449
Nagpur,,,NAGPUR NORTH (SC),57,,4,449,0,8,457,0,,,0,447,447,0,447
Nagpur,,,NAGPUR NORTH (SC),57,,5,454,0,4,458,0,,,0,460,460,0,460
Nagpur,,,NAGPUR NORTH (SC),57,,6,770,0,3,773,0,,,0,763,763,0,763
Nagpur,,,NAGPUR NORTH (SC),57,,7,660,0,5,665,0,,,0,660,660,0,660
Nagpur,,,NAGPUR NORTH (SC),57,,8,486,0,2,488,0,,,0,487,487,0,487
Nagpur,,,NAGPUR NORTH (SC),57,,9,812,0,3,815,0,,,0,812,812,0,812
Nagpur,,,NAGPUR NORTH (SC),57,,10,817,0,7,824,0,,,0,817,817,0,817
Nagpur,,,NAGPUR NORTH (SC),57,,11,546,0,1,547,0,,,0,546,546,0,546
Nagpur,,,NAGPUR NORTH (SC),57,,12,571,0,4,575,0,,,0,571,571,0,571
Nagpur,,,NAGPUR NORTH (SC),57,,13,386,0,3,389,0,,,0,387,387,0,387
Nagpur,,,NAGPUR NORTH (SC),57,,13A,482,0,0,482,0,,,0,483,483,0,483
Nagpur,,,NAGPUR NORTH (SC),57,,14,624,0,3,627,0,,,0,628,628,0,628
Nagpur,,,NAGPUR NORTH (SC),57,,15,711,0,7,718,0,,,0,710,710,0,710
Nagpur,,,NAGPUR NORTH (SC),57,,16,522,0,2,524,0,,,0,525,525,0,525
Nagpur,,,NAGPUR NORTH (SC),57,,17,409,0,0,409,0,,,0,411,411,0,411
Nagpur,,,NAGPUR NORTH (SC),57,,18,423,0,2,425,0,,,0,423,423,0,423
Nagpur,,,NAGPUR NORTH (SC),57,,19,745,0,6,751,0,,,0,746,746,0,746
Nagpur,,,NAGPUR NORTH (SC),57,,20,721,0,5,726,0,,,0,720,720,0,720
Nagpur,,,NAGPUR NORTH (SC),57,,21,511,0,2,513,0,,,0,508,508,0,508
Nagpur,,,NAGPUR NORTH (SC),57,,22,611,0,3,614,0,,,0,606,606,0,606
Nagpur,,,NAGPUR NORTH (SC),57,,23,839,0,4,843,0,,,0,840,840,0,840
Nagpur,,,NAGPUR NORTH (SC),57,,24,715,0,1,716,0,,,0,714,714,0,714
Nagpur,,,NAGPUR NORTH (SC),57,,25,477,0,1,478,0,,,0,477,477,0,477
Nagpur,,,NAGPUR NORTH (SC),57,,26,665,0,1,666,0,,,0,665,665,0,665
