District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Aurangabad,,,Aurangabad (Central),107,,1,2,0,0,2,0,TNANA SAHUS EHTARHSAD,,558,117,675,0,675
Aurangabad,,,Aurangabad (Central),107,,2,6,1,0,7,0,TNANA SAHUS EHTARHSAD,,590,77,667,0,667
Aurangabad,,,Aurangabad (Central),107,,3,103,0,0,103,0,TNANA SAHUS EHTARHSAD,,398,129,527,0,527
Aurangabad,,,Aurangabad (Central),107,,4,240,0,0,240,0,TNANA SAHUS EHTARHSAD,,219,148,367,0,367
Aurangabad,,,Aurangabad (Central),107,,5,342,1,0,343,0,TNANA SAHUS EHTARHSAD,,175,171,346,0,346
Aurangabad,,,Aurangabad (Central),107,,6,571,1,268,572,0,TNANA SAHUS EHTARHSAD,,80,223,303,0,303
Aurangabad,,,Aurangabad (Central),107,,7,465,0,352,465,0,TNANA SAHUS EHTARHSAD,,36,77,113,0,113
Aurangabad,,,Aurangabad (Central),107,,8,319,1,113,320,0,TNANA SAHUS EHTARHSAD,,96,110,206,0,206
Aurangabad,,,Aurangabad (Central),107,,9,697,2,528,699,1,TNANA SAHUS EHTARHSAD,,56,113,169,1,170
Aurangabad,,,Aurangabad (Central),107,,10,593,1,285,594,1,TNANA SAHUS EHTARHSAD,,128,180,308,1,309
Aurangabad,,,Aurangabad (Central),107,,11,511,3,69,514,2,TNANA SAHUS EHTARHSAD,,193,249,442,2,444
Aurangabad,,,Aurangabad (Central),107,,12,9,0,0,9,0,TNANA SAHUS EHTARHSAD,,507,278,785,0,785
Aurangabad,,,Aurangabad (Central),107,,13,2,0,0,2,0,TNANA SAHUS EHTARHSAD,,423,175,598,0,598
Aurangabad,,,Aurangabad (Central),107,,14,26,0,0,26,0,TNANA SAHUS EHTARHSAD,,462,142,604,0,604
Aurangabad,,,Aurangabad (Central),107,,15,3,0,0,3,0,TNANA SAHUS EHTARHSAD,,369,199,568,0,568
Aurangabad,,,Aurangabad (Central),107,,16,22,1,0,23,3,TNANA SAHUS EHTARHSAD,,433,123,556,3,559
Aurangabad,,,Aurangabad (Central),107,,17,48,1,0,49,0,TNANA SAHUS EHTARHSAD,,288,150,438,0,438
Aurangabad,,,Aurangabad (Central),107,,18,8,0,0,8,0,TNANA SAHUS EHTARHSAD,,547,223,770,0,770
