District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Nandurabar,,,NANDURBAR,3,,1,598,0,8,606,0,Candidate_2,,0,598,598,0,598
Nandurabar,,,NANDURBAR,3,,2,612,0,12,624,0,Candidate_2,,0,612,612,0,612
TOTAL,,,,,,,1210,0,20,1230,0,,,0,1210,1210,0,1210
