District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Yavatmal,,,Ralegaon (ST),77,,1,670,0,0,670,674,EKRUP IJUHDNIHC TNASAV,,335,336,671,674,1345
Yavatmal,,,Ralegaon (ST),77,,2,327,0,0,327,327,EKRUP IJUHDNIHC TNASAV,,108,221,329,327,656
Yavatmal,,,Ralegaon (ST),77,,3,715,0,0,715,718,EKRUP IJUHDNIHC TNASAV,,324,394,718,718,1436
Yavatmal,,,Ralegaon (ST),77,,4,649,0,0,649,650,EKRUP IJUHDNIHC TNASAV,,332,321,653,650,1303
Yavatmal,,,Ralegaon (ST),77,,5,599,0,0,599,602,EKRUP IJUHDNIHC TNASAV,,262,342,604,602,1206
Yavatmal,,,Ralegaon (ST),77,,6,736,0,0,736,739,EKRUP IJUHDNIHC TNASAV,,381,361,742,739,1481
Yavatmal,,,Ralegaon (ST),77,,7,408,0,0,408,408,EKRUP IJUHDNIHC TNASAV,,173,242,415,408,823
Yavatmal,,,Ralegaon (ST),77,,8,504,0,0,504,505,EKRUP IJUHDNIHC TNASAV,,262,250,512,505,1017
Yavatmal,,,Ralegaon (ST),77,,9,336,0,0,336,337,EKRUP IJUHDNIHC TNASAV,,83,262,345,337,682
Yavatmal,,,Ralegaon (ST),77,,10,661,0,0,661,665,EKRUP IJUHDNIHC TNASAV,,242,429,671,665,1336
Yavatmal,,,Ralegaon (ST),77,,11,731,0,0,731,733,EKRUP IJUHDNIHC TNASAV,,421,321,742,733,1475
Yavatmal,,,Ralegaon (ST),77,,12,506,0,0,506,507,EKRUP IJUHDNIHC TNASAV,,253,265,518,507,1025
Yavatmal,,,Ralegaon (ST),77,,13,353,0,0,353,354,EKRUP IJUHDNIHC TNASAV,,184,182,366,354,720
Yavatmal,,,Ralegaon (ST),77,,14,318,0,0,318,320,EKRUP IJUHDNIHC TNASAV,,186,146,332,320,652
Yavatmal,,,Ralegaon (ST),77,,15,245,0,0,245,245,EKRUP IJUHDNIHC TNASAV,,150,110,260,245,505
Yavatmal,,,Ralegaon (ST),77,,16,570,0,0,570,576,EKRUP IJUHDNIHC TNASAV,,261,325,586,576,1162
Yavatmal,,,Ralegaon (ST),77,,17,676,0,0,676,682,EKRUP IJUHDNIHC TNASAV,,253,440,693,682,1375
Yavatmal,,,Ralegaon (ST),77,,18,817,0,0,817,825,EKRUP IJUHDNIHC TNASAV,,592,243,835,825,1660
Yavatmal,,,Ralegaon (ST),77,,19,647,0,0,647,647,EKRUP IJUHDNIHC TNASAV,,315,351,666,647,1313
Yavatmal,,,Ralegaon (ST),77,,20,700,0,0,700,704,EKRUP IJUHDNIHC TNASAV,,443,277,720,704,1424
Yavatmal,,,Ralegaon (ST),77,,21,464,0,0,464,467,EKRUP IJUHDNIHC TNASAV,,266,219,485,467,952
Yavatmal,,,Ralegaon (ST),77,,22,392,0,0,392,395,EKRUP IJUHDNIHC TNASAV,,226,188,414,395,809
Yavatmal,,,Ralegaon (ST),77,,23,548,0,0,548,550,EKRUP IJUHDNIHC TNASAV,,247,324,571,550,1121
Yavatmal,,,Ralegaon (ST),77,,24,671,0,0,671,677,EKRUP IJUHDNIHC TNASAV,,270,425,695,677,1372
Yavatmal,,,Ralegaon (ST),77,,25,230,0,0,230,237,EKRUP IJUHDNIHC TNASAV,,106,149,255,237,492
Yavatmal,,,Ralegaon (ST),77,,26,541,0,0,541,543,EKRUP IJUHDNIHC TNASAV,,253,314,567,543,1110
Yavatmal,,,Ralegaon (ST),77,,27,455,0,0,455,461,EKRUP IJUHDNIHC TNASAV,,257,225,482,461,943
Yavatmal,,,Ralegaon (ST),77,,28,498,0,0,498,500,EKRUP IJUHDNIHC TNASAV,,242,284,526,500,1026
Yavatmal,,,Ralegaon (ST),77,,30,641,0,0,641,644,EKRUP IJUHDNIHC TNASAV,,241,430,671,644,1315
Yavatmal,,,Ralegaon (ST),77,,31,590,0,0,590,597,EKRUP IJUHDNIHC TNASAV,,133,488,621,597,1218
Yavatmal,,,Ralegaon (ST),77,,32,396,0,0,396,398,EKRUP IJUHDNIHC TNASAV,,153,275,428,398,826
Yavatmal,,,Ralegaon (ST),77,,33,972,0,0,972,975,EKRUP IJUHDNIHC TNASAV,,426,579,1005,975,1980
Yavatmal,,,Ralegaon (ST),77,,34,534,0,0,534,534,EKRUP IJUHDNIHC TNASAV,,221,347,568,534,1102
Yavatmal,,,Ralegaon (ST),77,,35,633,0,0,633,635,EKRUP IJUHDNIHC TNASAV,,448,220,668,635,1303
Yavatmal,,,Ralegaon (ST),77,,36,316,0,0,316,316,EKRUP IJUHDNIHC TNASAV,,149,203,352,316,668
