District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Dhule,,,SAKRI (S.T.),5,342640,1,772,0,3,775,,Pratap Singh Valvi,,991,573,1564,,2546
Dhule,,,SAKRI (S.T.),5,342640,2,545,0,1,546,,Pratap Singh Valvi,,991,573,1564,,2546
Dhule,,,SAKRI (S.T.),5,342640,3,515,0,4,519,,Pratap Singh Valvi,,991,573,1564,,2546
Dhule,,,SAKRI (S.T.),5,342640,4,379,0,2,381,,Pratap Singh Valvi,,991,573,1564,,2546
Dhule,,,SAKRI (S.T.),5,342640,5,335,0,1,336,,Pratap Singh Valvi,,991,573,1564,,2546
