District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Buldhana,,,SINDKHED RAJA,24,324075,1,659,0,4,663,,Candidate_2,,452,373,825,,1236
Buldhana,,,SINDKHED RAJA,24,324075,2,577,0,4,581,,Candidate_2,,452,373,825,,1236
