District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Dhule,,,SHIRPUR (S.T.),9,351226,1,828,0,11,839,,Kashiram Pawra,,2494,1346,3840,,3840
Dhule,,,SHIRPUR (S.T.),9,351226,2,917,0,6,923,,Kashiram Pawra,,2494,1346,3840,,3840
Dhule,,,SHIRPUR (S.T.),9,351226,3,815,0,11,826,,Kashiram Pawra,,2494,1346,3840,,3840
Dhule,,,SHIRPUR (S.T.),9,351226,4,714,0,9,723,,Kashiram Pawra,,2494,1346,3840,,3840
Dhule,,,SHIRPUR (S.T.),9,351226,5,566,0,11,577,,Kashiram Pawra,,2494,1346,3840,,3840
