District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Nandurabar,,,NANDURBAR,3,353953,1,598,0,8,606,,Candidate_2,,700,510,1210,,1210
Nandurabar,,,NANDURBAR,3,353953,2,612,0,12,624,,Candidate_2,,700,510,1210,,1210
