District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Gondia,,,AMGAON,15,308272,1,771,0,0,771,774,Anil Patil Bhaidas,,107236,14573,121809,,121809
Gondia,,,AMGAON,15,308272,2,690,0,0,690,691,Anil Patil Bhaidas,,107236,14573,121809,,121809
