District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EMV Votes,Total Postal ballot votes,Total Votes Polled
Nandurabar,,,NAVAPUR,4,295851,1,542,0,15,557,,Candidate_2,,574,453,1027,,1027
Nandurabar,,,NAVAPUR,4,295851,2,485,0,12,497,,Candidate_2,,574,453,1027,,1027
