District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Akola,,,Akola West,30,,1,659,0,4,663,0,,,0,657,657,0,657
Akola,,,Akola West,30,,2,408,0,3,411,0,,,0,408,408,0,408
Akola,,,Akola West,30,,3,529,0,8,537,0,,,0,529,529,0,529
Akola,,,Akola West,30,,4,586,0,8,594,0,,,0,586,586,0,586
Akola,,,Akola West,30,,5,718,0,5,723,0,,,0,718,718,0,718
Akola,,,Akola West,30,,6,744,0,7,751,0,,,0,744,744,0,744
Akola,,,Akola West,30,,7,653,0,6,659,0,,,0,653,653,0,653
Akola,,,Akola West,30,,8,601,0,7,608,0,,,0,601,601,0,601
Akola,,,Akola West,30,,9,497,0,1,498,0,,,0,497,497,0,497
Akola,,,Akola West,30,,10,815,0,2,817,0,,,0,815,815,0,815
Akola,,,Akola West,30,,11,750,0,2,752,0,,,0,750,750,0,750
Akola,,,Akola West,30,,12,725,0,1,726,0,,,0,725,725,0,725
Akola,,,Akola West,30,,13,517,0,2,519,0,,,0,517,517,0,517
Akola,,,Akola West,30,,14,593,0,3,596,0,,,0,593,593,0,593
Akola,,,Akola West,30,,15,625,0,1,626,0,,,0,625,625,0,625
Akola,,,Akola West,30,,16,761,0,1,762,0,,,0,761,761,0,761
Akola,,,Akola West,30,,17,782,0,5,787,0,,,0,782,782,0,782
Akola,,,Akola West,30,,18,909,0,6,915,0,,,0,909,909,0,909
Akola,,,Akola West,30,,19,833,0,2,835,0,,,0,833,833,0,833
Akola,,,Akola West,30,,20,766,0,1,767,0,,,0,766,766,0,766
Akola,,,Akola West,30,,21,758,0,6,764,0,,,0,758,758,0,758
Akola,,,Akola West,30,,22,743,0,5,748,0,,,0,743,743,0,743
Akola,,,Akola West,30,,23,853,0,3,856,0,,,0,853,853,0,853
Akola,,,Akola West,30,,24,760,0,6,766,0,,,0,760,760,0,760
Akola,,,Akola West,30,,25,876,0,5,881,0,,,0,876,876,0,876
