District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Beed,,,Georai,228,,1,512,0,0,512,0,,,0,512,512,0,512
Beed,,,Georai,228,,2,512,0,0,512,0,,,0,512,512,0,512
Beed,,,Georai,228,,3,778,0,0,778,0,,,0,778,778,0,778
Beed,,,Georai,228,,4,479,0,1,479,0,,,0,478,478,0,478
Beed,,,Georai,228,,5,1049,0,1,1049,0,,,0,1048,1048,0,1048
Beed,,,Georai,228,,6,738,0,0,738,0,,,0,738,738,0,738
Beed,,,Georai,228,,7,590,0,1,590,0,,,0,589,589,0,589
Beed,,,Georai,228,,8,639,0,3,639,0,,,0,632,632,0,632
Beed,,,Georai,228,,9,774,0,1,774,0,,,0,773,773,0,773
Beed,,,Georai,228,,10,742,0,1,742,0,,,0,741,741,0,741
Beed,,,Georai,228,,11,793,0,0,793,0,,,0,793,793,0,793
Beed,,,Georai,228,,12,828,0,1,828,0,,,0,827,827,0,827
Beed,,,Georai,228,,13,804,0,3,804,0,,,0,801,801,0,801
Beed,,,Georai,228,,14,947,0,0,947,0,,,0,947,947,0,947
Beed,,,Georai,228,,15,716,0,0,716,0,,,0,716,716,0,716
Beed,,,Georai,228,,16,661,0,0,661,0,,,0,661,661,0,661
Beed,,,Georai,228,,17,708,0,0,708,0,,,0,708,708,0,708
Beed,,,Georai,228,,18,565,0,0,565,0,,,0,565,565,0,565
Beed,,,Georai,228,,19,552,0,1,552,0,,,0,551,551,0,551
Beed,,,Georai,228,,20,583,0,2,583,0,,,0,581,581,0,581
Beed,,,Georai,228,,21,538,0,0,538,0,,,0,538,538,0,538
Beed,,,Georai,228,,22,495,0,1,495,0,,,0,494,494,0,494
Beed,,,Georai,228,,23,832,0,0,832,0,,,0,832,832,0,832
Beed,,,Georai,228,,24,857,0,5,857,0,,,0,852,852,0,852
Beed,,,Georai,228,,25,560,0,0,560,0,,,0,560,560,0,560
Beed,,,Georai,228,,26,1008,0,2,1008,0,,,0,1006,1006,0,1006
Beed,,,Georai,228,,27,847,0,2,847,0,,,0,845,845,0,845
Beed,,,Georai,228,,28,1021,0,3,1021,0,,,0,1018,1018,0,1018
Beed,,,Georai,228,,29,1057,0,1,1057,0,,,0,1056,1056,0,1056
Beed,,,Georai,228,,30,894,0,0,894,0,,,0,894,894,0,894
Beed,,,Georai,228,,31,450,0,0,450,0,,,0,450,450,0,450
Beed,,,Georai,228,,32,1089,0,7,1089,0,,,0,1082,1082,0,1082
Beed,,,Georai,228,,33,1060,0,3,1060,0,,,0,1057,1057,0,1057
Beed,,,Georai,228,,34,811,0,1,811,0,,,0,810,810,0,810
Beed,,,Georai,228,,35,523,0,0,523,0,,,0,523,523,0,523
Beed,,,Georai,228,,36,695,0,1,695,0,,,0,694,694,0,694
Beed,,,Georai,228,,37,1047,0,3,1047,0,,,0,1044,1044,0,1044
Beed,,,Georai,228,,38,949,0,0,949,0,,,0,949,949,0,949
Beed,,,Georai,228,,39,935,0,0,935,0,,,0,935,935,0,935
Beed,,,Georai,228,,40,556,0,0,556,0,,,0,556,556,0,556
Beed,,,Georai,228,,41,561,0,3,561,0,,,0,558,558,0,558
Beed,,,Georai,228,,42,473,0,0,473,0,,,0,473,473,0,473
Beed,,,Georai,228,,43,485,0,0,485,0,,,0,485,485,0,485
Beed,,,Georai,228,,44,475,0,0,475,0,,,0,475,475,0,475
Beed,,,Georai,228,,45,812,0,0,812,0,,,0,812,812,0,812
Beed,,,Georai,228,,46,876,0,1,876,0,,,0,875,875,0,875
Beed,,,Georai,228,,47,937,0,1,937,0,,,0,936,936,0,936
Beed,,,Georai,228,,48,828,0,0,828,0,,,0,828,828,0,828
Beed,,,Georai,228,,49,413,0,1,413,0,,,0,412,412,0,412
Beed,,,Georai,228,,50,728,0,1,728,0,,,0,727,727,0,727
Beed,,,Georai,228,,51,755,0,2,755,0,,,0,753,753,0,753
Beed,,,Georai,228,,52,808,0,0,808,0,,,0,808,808,0,808
Beed,,,Georai,228,,53,814,0,0,814,0,,,0,814,814,0,814
Beed,,,Georai,228,,54,827,0,1,827,0,,,0,826,826,0,826
Beed,,,Georai,228,,55,842,0,0,842,0,,,0,842,842,0,842
Beed,,,Georai,228,,56,970,0,2,970,0,,,0,968,968,0,968
Beed,,,Georai,228,,57,863,0,2,863,0,,,0,861,861,0,861
Beed,,,Georai,228,,58,903,0,4,903,0,,,0,899,899,0,899
Beed,,,Georai,228,,59,879,0,0,879,0,,,0,879,879,0,879
Beed,,,Georai,228,,60,981,0,2,981,0,,,0,979,979,0,979
Beed,,,Georai,228,,61,737,0,1,737,0,,,0,736,736,0,736
Beed,,,Georai,228,,62,501,0,0,501,0,,,0,501,501,0,501
Beed,,,Georai,228,,63,1058,0,4,1058,0,,,0,1054,1054,0,1054
Beed,,,Georai,228,,64,776,0,1,776,0,,,0,774,774,0,774
Beed,,,Georai,228,,65,849,0,1,849,0,,,0,840,840,0,840
Beed,,,Georai,228,,66,442,0,1,442,0,,,0,439,439,0,439
Beed,,,Georai,228,,67,614,0,1,614,0,,,0,612,612,0,612
Beed,,,Georai,228,,68,902,0,1,902,0,,,0,899,899,0,899
Beed,,,Georai,228,,69,331,0,2,331,0,,,0,328,328,0,328
Beed,,,Georai,228,,70,766,0,0,766,0,,,0,766,766,0,766
Beed,,,Georai,228,,71,685,0,0,685,0,,,0,685,685,0,685
Beed,,,Georai,228,,72,857,0,0,857,0,,,0,857,857,0,857
Beed,,,Georai,228,,73,555,0,1,555,0,,,0,553,553,0,553
Beed,,,Georai,228,,74,547,0,0,547,0,,,0,547,547,0,547
Beed,,,Georai,228,,75,574,0,1,574,0,,,0,573,573,0,573
Beed,,,Georai,228,,76,815,0,1,815,0,,,0,814,814,0,814
Beed,,,Georai,228,,77,864,0,0,864,0,,,0,864,864,0,864
Beed,,,Georai,228,,78,1060,0,4,1060,0,,,0,1054,1054,0,1054
Beed,,,Georai,228,,79,553,0,1,553,0,,,0,552,552,0,552
Beed,,,Georai,228,,80,654,0,2,654,0,,,0,650,650,0,650
Beed,,,Georai,228,,81,568,0,0,568,0,,,0,568,568,0,568
Beed,,,Georai,228,,82,557,0,0,557,0,,,0,557,557,0,557
Beed,,,Georai,228,,83,569,0,0,569,0,,,0,568,568,0,568
Beed,,,Georai,228,,84,536,0,1,536,0,,,0,534,534,0,534
Beed,,,Georai,228,,85,830,0,0,830,0,,,0,830,830,0,830
Beed,,,Georai,228,,86,691,0,0,691,0,,,0,691,691,0,691
Beed,,,Georai,228,,87,719,0,0,719,0,,,0,719,719,0,719
Beed,,,Georai,228,,88,918,0,0,918,0,,,0,918,918,0,918
Beed,,,Georai,228,,89,382,0,0,382,0,,,0,382,382,0,382
Beed,,,Georai,228,,90,932,0,0,932,0,,,0,932,932,0,932
Beed,,,Georai,228,,91,897,0,2,897,0,,,0,895,895,0,895
Beed,,,Georai,228,,92,547,0,1,547,0,,,0,546,546,0,546
Beed,,,Georai,228,,93,596,0,0,596,0,,,0,596,596,0,596
Beed,,,Georai,228,,94,371,0,1,371,0,,,0,370,370,0,370
Beed,,,Georai,228,,95,411,0,1,411,0,,,0,410,410,0,410
Beed,,,Georai,228,,96,881,0,2,881,0,,,0,879,879,0,879
Beed,,,Georai,228,,97,326,0,0,326,0,,,0,326,326,0,326
Beed,,,Georai,228,,98,559,0,0,559,0,,,0,559,559,0,559
Beed,,,Georai,228,,99,477,0,3,477,0,,,0,474,474,0,474
Beed,,,Georai,228,,100,677,0,0,677,0,,,0,677,677,0,677
Beed,,,Georai,228,,101,727,0,1,727,0,,,0,726,726,0,726
Beed,,,Georai,228,,102,557,0,4,557,0,,,0,553,553,0,553
Beed,,,Georai,228,,103,925,0,2,925,0,,,0,923,923,0,923
Beed,,,Georai,228,,104,345,0,0,345,0,,,0,345,345,0,345
Beed,,,Georai,228,,105,445,0,1,445,0,,,0,444,444,0,444
Beed,,,Georai,228,,106,666,0,7,666,0,,,0,659,659,0,659
Beed,,,Georai,228,,107,818,0,1,818,0,,,0,817,817,0,817
Beed,,,Georai,228,,108,494,0,0,494,0,,,0,494,494,0,494
Beed,,,Georai,228,,109,508,0,1,508,0,,,0,507,507,0,507
Beed,,,Georai,228,,110,860,0,0,860,0,,,0,860,860,0,860
Beed,,,Georai,228,,111,628,0,0,628,0,,,0,628,628,0,628
Beed,,,Georai,228,,112,703,0,1,703,0,,,0,702,702,0,702
Beed,,,Georai,228,,113,820,0,1,820,0,,,0,819,819,0,819
Beed,,,Georai,228,,114,331,0,1,331,0,,,0,330,330,0,330
Beed,,,Georai,228,,115,255,0,1,255,0,,,0,254,254,0,254
Beed,,,Georai,228,,116,715,0,2,715,0,,,0,713,713,0,713
Beed,,,Georai,228,,117,982,0,1,982,0,,,0,981,981,0,981
Beed,,,Georai,228,,118,788,0,2,788,0,,,0,792,792,0,792
Beed,,,Georai,228,,119,372,0,0,372,0,,,0,372,372,0,372
Beed,,,Georai,228,,120,756,0,1,756,0,,,0,755,755,0,755
Beed,,,Georai,228,,121,631,0,2,631,0,,,0,629,629,0,629
Beed,,,Georai,228,,122,813,0,1,813,0,,,0,812,812,0,812
Beed,,,Georai,228,,123,680,0,1,680,0,,,0,679,679,0,679
Beed,,,Georai,228,,124,707,0,1,707,0,,,0,706,706,0,706
Beed,,,Georai,228,,125,425,0,0,425,0,,,0,425,425,0,425
Beed,,,Georai,228,,126,354,0,2,354,0,,,0,352,352,0,352
Beed,,,Georai,228,,127,929,0,0,929,0,,,0,929,929,0,929
Beed,,,Georai,228,,128,855,0,0,855,0,,,0,855,855,0,855
Beed,,,Georai,228,,129,644,0,1,644,0,,,0,643,643,0,643
Beed,,,Georai,228,,130,793,0,0,793,0,,,0,793,793,0,793
Beed,,,Georai,228,,131,1043,0,3,1043,0,,,0,1040,1040,0,1040
Beed,,,Georai,228,,132,880,0,0,880,0,,,0,879,879,0,879
Beed,,,Georai,228,,133,741,0,0,741,0,,,0,741,741,0,741
Beed,,,Georai,228,,134,739,0,0,739,0,,,0,739,739,0,739
Beed,,,Georai,228,,135,624,0,0,624,0,,,0,624,624,0,624
Beed,,,Georai,228,,136,675,0,1,675,0,,,0,674,674,0,674
Beed,,,Georai,228,,137,806,0,2,806,0,,,0,804,804,0,804
Beed,,,Georai,228,,138,487,0,0,487,0,,,0,487,487,0,487
Beed,,,Georai,228,,139,844,0,0,844,0,,,0,844,844,0,844
Beed,,,Georai,228,,140,745,0,1,745,0,,,0,744,744,0,744
Beed,,,Georai,228,,141,929,0,1,929,0,,,0,928,928,0,928
Beed,,,Georai,228,,142,1129,0,1,1129,0,,,0,1128,1128,0,1128
Beed,,,Georai,228,,143,592,0,1,592,0,,,0,591,591,0,591
Beed,,,Georai,228,,144,763,0,3,763,0,,,0,760,760,0,760
Beed,,,Georai,228,,145,912,0,3,912,0,,,0,909,909,0,909
Beed,,,Georai,228,,146,981,0,2,981,0,,,0,979,979,0,979
Beed,,,Georai,228,,147,646,0,2,646,0,,,0,644,644,0,644
Beed,,,Georai,228,,148,772,0,3,772,0,,,0,769,769,0,769
Beed,,,Georai,228,,149,757,0,3,757,0,,,0,754,754,0,754
Beed,,,Georai,228,,150,767,0,1,767,0,,,0,766,766,0,766
Beed,,,Georai,228,,151,1048,0,0,1048,0,,,0,1048,1048,0,1048
Beed,,,Georai,228,,152,711,0,0,711,0,,,0,711,711,0,711
Beed,,,Georai,228,,153,455,0,0,455,0,,,0,455,455,0,455
Beed,,,Georai,228,,154,807,0,0,807,0,,,0,807,807,0,807
Beed,,,Georai,228,,155,567,0,0,567,0,,,0,567,567,0,567
Beed,,,Georai,228,,156,979,0,2,979,0,,,0,977,977,0,977
Beed,,,Georai,228,,157,567,0,0,567,0,,,0,567,567,0,567
Beed,,,Georai,228,,158,993,0,3,993,0,,,0,990,990,0,990
Beed,,,Georai,228,,159,937,0,2,937,0,,,0,935,935,0,935
Beed,,,Georai,228,,160,777,0,1,777,0,,,0,776,776,0,776
Beed,,,Georai,228,,161,953,0,0,953,0,,,0,953,953,0,953
