District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Buldhana,,,Jalgaon Jamod,27,,1,752,0,9,752,0,,,0,743,743,0,743
Buldhana,,,Jalgaon Jamod,27,,2,603,0,9,603,0,,,0,594,594,0,594
Buldhana,,,Jalgaon Jamod,27,,3,1033,0,31,1033,0,,,0,1002,1002,0,1002
Buldhana,,,Jalgaon Jamod,27,,4,449,0,3,449,0,,,0,446,446,0,446
Buldhana,,,Jalgaon Jamod,27,,5,214,0,2,214,0,,,0,212,212,0,212
Buldhana,,,Jalgaon Jamod,27,,6,866,0,11,866,0,,,0,855,855,0,855
Buldhana,,,Jalgaon Jamod,27,,7,767,0,18,767,0,,,0,749,749,0,749
Buldhana,,,Jalgaon Jamod,27,,8,814,0,5,814,0,,,0,809,809,0,809
Buldhana,,,Jalgaon Jamod,27,,9,544,0,15,544,0,,,0,529,529,0,529
Buldhana,,,Jalgaon Jamod,27,,10,828,0,4,828,0,,,0,824,824,0,824
Buldhana,,,Jalgaon Jamod,27,,11,915,0,8,915,0,,,0,907,907,0,907
Buldhana,,,Jalgaon Jamod,27,,12,914,0,7,914,0,,,0,907,907,0,907
Buldhana,,,Jalgaon Jamod,27,,13,569,0,3,569,0,,,0,566,566,0,566
Buldhana,,,Jalgaon Jamod,27,,14,481,0,11,481,0,,,0,470,470,0,470
Buldhana,,,Jalgaon Jamod,27,,15,638,0,6,638,0,,,0,632,632,0,632
Buldhana,,,Jalgaon Jamod,27,,16,541,0,16,541,0,,,0,525,525,0,525
Buldhana,,,Jalgaon Jamod,27,,17,658,0,4,658,0,,,0,654,654,0,654
Buldhana,,,Jalgaon Jamod,27,,18,849,0,19,849,0,,,0,830,830,0,830
Buldhana,,,Jalgaon Jamod,27,,19,818,0,2,818,0,,,0,816,816,0,816
Buldhana,,,Jalgaon Jamod,27,,20,744,0,6,744,0,,,0,738,738,0,738
Buldhana,,,Jalgaon Jamod,27,,21,971,0,6,971,0,,,0,965,965,0,965
Buldhana,,,Jalgaon Jamod,27,,22,874,0,8,874,0,,,0,866,866,0,866
Buldhana,,,Jalgaon Jamod,27,,23,535,0,2,535,0,,,0,533,533,0,533
Buldhana,,,Jalgaon Jamod,27,,24,634,0,2,634,0,,,0,632,632,0,632
Buldhana,,,Jalgaon Jamod,27,,25,467,0,1,467,0,,,0,466,466,0,466
Buldhana,,,Jalgaon Jamod,27,,26,495,0,1,495,0,,,0,494,494,0,494
Buldhana,,,Jalgaon Jamod,27,,27,738,0,9,738,0,,,0,729,729,0,729
Buldhana,,,Jalgaon Jamod,27,,28,707,0,5,707,0,,,0,702,702,0,702
Buldhana,,,Jalgaon Jamod,27,,29,783,0,5,783,0,,,0,778,778,0,778
Buldhana,,,Jalgaon Jamod,27,,30,759,0,8,759,0,,,0,751,751,0,751
Buldhana,,,Jalgaon Jamod,27,,031,438,0,0,438,0,,,0,438,438,0,438
Buldhana,,,Jalgaon Jamod,27,,032,621,0,8,621,0,,,0,613,613,0,613
Buldhana,,,Jalgaon Jamod,27,,033,596,0,7,596,0,,,0,589,589,0,589
Buldhana,,,Jalgaon Jamod,27,,034,776,0,8,776,0,,,0,768,768,0,768
Buldhana,,,Jalgaon Jamod,27,,035,786,0,7,786,0,,,0,779,779,0,779
Buldhana,,,Jalgaon Jamod,27,,036,701,0,7,701,0,,,0,694,694,0,694
Buldhana,,,Jalgaon Jamod,27,,037,785,0,4,785,0,,,0,781,781,0,781
Buldhana,,,Jalgaon Jamod,27,,038,743,0,7,743,0,,,0,736,736,0,736
Buldhana,,,Jalgaon Jamod,27,,039,639,0,17,639,0,,,0,622,622,0,622
