District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Mumbai Suburban,,,Bhandup (West),157,,1,628,7,7,635,0,,,0,668,668,0,668
Mumbai Suburban,,,Bhandup (West),157,,2,901,16,16,917,0,,,0,622,622,0,622
Mumbai Suburban,,,Bhandup (West),157,,3,478,5,5,483,0,,,0,347,347,0,347
Mumbai Suburban,,,Bhandup (West),157,,4,743,6,6,749,0,,,0,804,804,0,804
Mumbai Suburban,,,Bhandup (West),157,,5,655,6,6,661,0,,,0,647,647,0,647
Mumbai Suburban,,,Bhandup (West),157,,6,712,11,11,723,0,,,0,710,710,0,710
Mumbai Suburban,,,Bhandup (West),157,,7,674,8,8,682,0,,,0,690,690,0,690
Mumbai Suburban,,,Bhandup (West),157,,8,555,11,5,666,0,,,0,472,472,0,472
Mumbai Suburban,,,Bhandup (West),157,,9,221,0,0,221,0,,,0,416,416,0,416
Mumbai Suburban,,,Bhandup (West),157,,10,801,5,5,806,0,,,0,1043,1043,0,1043
Mumbai Suburban,,,Bhandup (West),157,,11,699,11,11,710,0,,,0,699,699,0,699
Mumbai Suburban,,,Bhandup (West),157,,12,509,18,18,527,0,,,0,305,305,0,305
Mumbai Suburban,,,Bhandup (West),157,,13,454,5,5,459,0,,,0,454,454,0,454
Mumbai Suburban,,,Bhandup (West),157,,14,726,14,14,740,0,,,0,725,725,0,725
Mumbai Suburban,,,Bhandup (West),157,,15,375,7,16,382,0,,,0,315,315,0,315
Mumbai Suburban,,,Bhandup (West),157,,16,567,14,14,581,0,,,0,398,398,0,398
Mumbai Suburban,,,Bhandup (West),157,,17,432,3,3,435,0,,,0,438,438,0,438
Mumbai Suburban,,,Bhandup (West),157,,18,503,4,4,507,0,,,0,367,367,0,367
Mumbai Suburban,,,Bhandup (West),157,,19,622,15,15,637,0,,,0,301,301,0,301
Mumbai Suburban,,,Bhandup (West),157,,20,633,12,12,645,0,,,0,267,267,0,267
Mumbai Suburban,,,Bhandup (West),157,,21,597,6,6,603,0,,,0,388,388,0,388
Mumbai Suburban,,,Bhandup (West),157,,22,545,7,7,552,0,,,0,275,275,0,275
Mumbai Suburban,,,Bhandup (West),157,,23,754,14,14,768,0,,,0,254,254,0,254
Mumbai Suburban,,,Bhandup (West),157,,24,934,20,20,954,0,,,0,433,433,0,433
Mumbai Suburban,,,Bhandup (West),157,,25,560,4,4,564,0,,,0,334,334,0,334
Mumbai Suburban,,,Bhandup (West),157,,26,661,9,9,670,0,,,0,348,348,0,348
Mumbai Suburban,,,Bhandup (West),157,,27,591,6,6,597,0,,,0,376,376,0,376
Mumbai Suburban,,,Bhandup (West),157,,28,500,9,9,509,0,,,0,321,321,0,321
Mumbai Suburban,,,Bhandup (West),157,,29,474,9,9,483,0,,,0,320,320,0,320
Mumbai Suburban,,,Bhandup (West),157,,30,528,9,9,537,0,,,0,363,363,0,363
Mumbai Suburban,,,Bhandup (West),157,,31,686,5,5,691,0,,,0,278,278,0,278
