District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Hingoli,,,HINGOLI,94,,1,867,0,8,875,0,,,0,915,915,0,915
Hingoli,,,HINGOLI,94,,2,671,0,2,673,0,,,0,865,865,0,865
Hingoli,,,HINGOLI,94,,3,559,0,0,559,0,,,0,665,665,0,665
Hingoli,,,HINGOLI,94,,4,528,0,0,528,0,,,0,692,692,0,692
Hingoli,,,HINGOLI,94,,5,766,0,3,769,0,,,0,490,490,0,490
Hingoli,,,HINGOLI,94,,6,638,0,1,639,0,,,0,762,762,0,762
Hingoli,,,HINGOLI,94,,7,827,0,2,829,0,,,0,921,921,0,921
Hingoli,,,HINGOLI,94,,8,234,0,1,235,0,,,0,765,765,0,765
Hingoli,,,HINGOLI,94,,9,468,0,0,468,0,,,0,285,285,0,285
Hingoli,,,HINGOLI,94,,10,694,0,3,697,0,,,0,523,523,0,523
Hingoli,,,HINGOLI,94,,11,399,0,0,399,0,,,0,787,787,0,787
Hingoli,,,HINGOLI,94,,12,707,0,1,708,0,,,0,553,553,0,553
Hingoli,,,HINGOLI,94,,13,550,0,2,552,0,,,0,716,716,0,716
Hingoli,,,HINGOLI,94,,14,611,0,1,612,0,,,0,679,679,0,679
Hingoli,,,HINGOLI,94,,15,833,0,1,834,0,,,0,567,567,0,567
Hingoli,,,HINGOLI,94,,16,571,0,0,571,0,,,0,849,849,0,849
Hingoli,,,HINGOLI,94,,17,562,0,1,563,0,,,0,553,553,0,553
Hingoli,,,HINGOLI,94,,18,548,0,1,549,0,,,0,568,568,0,568
Hingoli,,,HINGOLI,94,,19,563,0,1,564,0,,,0,475,475,0,475
Hingoli,,,HINGOLI,94,,20,655,0,3,658,0,,,0,658,658,0,658
Hingoli,,,HINGOLI,94,,21,626,0,2,628,0,,,0,693,693,0,693
Hingoli,,,HINGOLI,94,,22,712,0,1,713,0,,,0,600,600,0,600
Hingoli,,,HINGOLI,94,,23,652,0,2,654,0,,,0,728,728,0,728
Hingoli,,,HINGOLI,94,,24,727,0,1,728,0,,,0,412,412,0,412
Hingoli,,,HINGOLI,94,,25,622,0,2,624,0,,,0,849,849,0,849
Hingoli,,,HINGOLI,94,,26,662,0,0,662,0,,,0,760,760,0,760
Hingoli,,,HINGOLI,94,,27,587,0,3,590,0,,,0,662,662,0,662
