District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Kolhapur,,,KAGAL,273,,1,1146,0,2,1148,0,,,0,1146,1146,0,1146
Kolhapur,,,KAGAL,273,,2,661,0,0,661,0,,,0,661,661,0,661
Kolhapur,,,KAGAL,273,,3,647,0,0,647,0,,,0,647,647,0,647
Kolhapur,,,KAGAL,273,,4,1111,0,4,1115,0,,,0,1111,1111,0,1111
Kolhapur,,,KAGAL,273,,5,712,0,3,715,0,,,0,712,712,0,712
Kolhapur,,,KAGAL,273,,6,824,0,5,829,0,,,0,824,824,0,824
Kolhapur,,,KAGAL,273,,7,478,0,2,480,0,,,0,478,478,0,478
Kolhapur,,,KAGAL,273,,8,1026,0,5,1031,0,,,0,1026,1026,0,1026
Kolhapur,,,KAGAL,273,,9,901,0,2,903,0,,,0,901,901,0,901
Kolhapur,,,KAGAL,273,,10,468,0,1,469,0,,,0,468,468,0,468
Kolhapur,,,KAGAL,273,,11,877,0,1,878,0,,,0,877,877,0,877
Kolhapur,,,KAGAL,273,,12,673,0,4,677,0,,,0,673,673,0,673
Kolhapur,,,KAGAL,273,,13,660,0,2,662,0,,,0,660,660,0,660
Kolhapur,,,KAGAL,273,,14,720,0,4,724,0,,,0,720,720,0,720
Kolhapur,,,KAGAL,273,,15,1021,0,2,1023,0,,,0,1021,1021,0,1021
Kolhapur,,,KAGAL,273,,16,900,0,6,906,0,,,0,900,900,0,900
Kolhapur,,,KAGAL,273,,17,737,0,5,742,0,,,0,737,737,0,737
Kolhapur,,,KAGAL,273,,18,1138,0,1,1139,0,,,0,1138,1138,0,1138
Kolhapur,,,KAGAL,273,,19,752,0,3,755,0,,,0,752,752,0,752
Kolhapur,,,KAGAL,273,,20,744,0,5,749,0,,,0,744,744,0,744
Kolhapur,,,KAGAL,273,,21,996,0,6,1002,0,,,0,996,996,0,996
Kolhapur,,,KAGAL,273,,22,1210,0,8,1218,0,,,0,1210,1210,0,1210
Kolhapur,,,KAGAL,273,,23,647,0,0,647,0,,,0,647,647,0,647
Kolhapur,,,KAGAL,273,,24,1132,0,3,1135,0,,,0,1132,1132,0,1132
Kolhapur,,,KAGAL,273,,25,1112,0,4,1116,0,,,0,1112,1112,0,1112
Kolhapur,,,KAGAL,273,,26,514,0,1,515,0,,,0,514,514,0,514
Kolhapur,,,KAGAL,273,,27,709,0,2,711,0,,,0,709,709,0,709
Kolhapur,,,KAGAL,273,,28,772,0,5,777,0,,,0,772,772,0,772
Kolhapur,,,KAGAL,273,,29,798,0,2,800,0,,,0,798,798,0,798
Kolhapur,,,KAGAL,273,,30,596,0,2,598,0,,,0,596,596,0,596
Kolhapur,,,KAGAL,273,,31,759,0,4,763,0,,,0,759,759,0,759
Kolhapur,,,KAGAL,273,,32,1079,0,7,1086,0,,,0,1079,1079,0,1079
Kolhapur,,,KAGAL,273,,33,783,0,3,786,0,,,0,783,783,0,783
Kolhapur,,,KAGAL,273,,34,1049,0,1,1050,0,,,0,1049,1049,0,1049
Kolhapur,,,KAGAL,273,,35,889,0,4,893,0,,,0,889,889,0,889
Kolhapur,,,KAGAL,273,,36,699,0,3,702,0,,,0,699,699,0,699
Kolhapur,,,KAGAL,273,,37,898,0,3,901,0,,,0,898,898,0,898
Kolhapur,,,KAGAL,273,,38,1162,0,3,1165,0,,,0,1162,1162,0,1162
Kolhapur,,,KAGAL,273,,39,1020,0,3,1023,0,,,0,1021,1021,0,1021
Kolhapur,,,KAGAL,273,,40,727,0,3,730,0,,,0,727,727,0,727
Kolhapur,,,KAGAL,273,,41,693,0,1,694,0,,,0,693,693,0,693
Kolhapur,,,KAGAL,273,,42,890,0,1,891,0,,,0,890,890,0,890
Kolhapur,,,KAGAL,273,,43,817,0,6,823,0,,,0,817,817,0,817
Kolhapur,,,KAGAL,273,,44,999,0,3,1002,0,,,0,999,999,0,999
Kolhapur,,,KAGAL,273,,45,1066,0,1,1067,0,,,0,1066,1066,0,1066
Kolhapur,,,KAGAL,273,,46,963,0,2,965,0,,,0,963,963,0,963
Kolhapur,,,KAGAL,273,,47,726,0,10,736,0,,,0,726,726,0,726
Kolhapur,,,KAGAL,273,,48,1113,0,4,1117,0,,,0,1113,1113,0,1113
Kolhapur,,,KAGAL,273,,49,1243,0,2,1245,0,,,0,1243,1243,0,1243
Kolhapur,,,KAGAL,273,,50,876,0,3,879,0,,,0,876,876,0,876
Kolhapur,,,KAGAL,273,,51,565,0,1,566,0,,,0,565,565,0,565
Kolhapur,,,KAGAL,273,,52,1185,0,5,1190,0,,,0,1185,1185,0,1185
Kolhapur,,,KAGAL,273,,53,733,0,2,735,0,,,0,733,733,0,733
Kolhapur,,,KAGAL,273,,54,533,0,1,534,0,,,0,533,533,0,533
Kolhapur,,,KAGAL,273,,55,1080,0,4,1084,0,,,0,1080,1080,0,1080
Kolhapur,,,KAGAL,273,,56,962,0,5,967,0,,,0,962,962,0,962
Kolhapur,,,KAGAL,273,,57,1019,0,5,1024,0,,,0,1019,1019,0,1019
Kolhapur,,,KAGAL,273,,58,1081,0,5,1086,0,,,0,1081,1081,0,1081
Kolhapur,,,KAGAL,273,,59,1079,0,4,1083,0,,,0,1079,1079,0,1079
Kolhapur,,,KAGAL,273,,60,1164,0,5,1169,0,,,0,1164,1164,0,1164
Kolhapur,,,KAGAL,273,,61,671,0,1,672,0,,,0,671,671,0,671
Kolhapur,,,KAGAL,273,,62,640,0,2,642,0,,,0,640,640,0,640
Kolhapur,,,KAGAL,273,,63,999,0,2,1001,0,,,0,999,999,0,999
Kolhapur,,,KAGAL,273,,64,615,0,0,615,0,,,0,612,612,0,612
Kolhapur,,,KAGAL,273,,65,611,0,0,611,0,,,0,611,611,0,611
Kolhapur,,,KAGAL,273,,66,645,0,1,646,0,,,0,645,645,0,645
Kolhapur,,,KAGAL,273,,68,560,0,0,560,0,,,0,561,561,0,561
Kolhapur,,,KAGAL,273,,69,693,0,3,696,0,,,0,693,693,0,693
Kolhapur,,,KAGAL,273,,70,908,0,2,910,0,,,0,908,908,0,908
Kolhapur,,,KAGAL,273,,71,874,0,0,874,0,,,0,874,874,0,874
Kolhapur,,,KAGAL,273,,72,901,0,3,904,0,,,0,901,901,0,901
Kolhapur,,,KAGAL,273,,74,1080,0,3,1083,0,,,0,1080,1080,0,1080
Kolhapur,,,KAGAL,273,,75,850,0,1,851,0,,,0,852,852,0,852
Kolhapur,,,KAGAL,273,,76,980,0,5,985,0,,,0,980,980,0,980
Kolhapur,,,KAGAL,273,,77,1059,0,4,1063,0,,,0,1059,1059,0,1059
Kolhapur,,,KAGAL,273,,78,1109,0,7,1116,0,,,0,1109,1109,0,1109
Kolhapur,,,KAGAL,273,,80,482,0,0,482,0,,,0,482,482,0,482
Kolhapur,,,KAGAL,273,,81,851,0,1,852,0,,,0,851,851,0,851
Kolhapur,,,KAGAL,273,,82,826,0,0,826,0,,,0,826,826,0,826
Kolhapur,,,KAGAL,273,,83,925,0,2,927,0,,,0,925,925,0,925
Kolhapur,,,KAGAL,273,,84,606,0,1,607,0,,,0,606,606,0,606
Kolhapur,,,KAGAL,273,,86,914,0,0,914,0,,,0,914,914,0,914
Kolhapur,,,KAGAL,273,,87,980,0,1,981,0,,,0,980,980,0,980
Kolhapur,,,KAGAL,273,,88,864,0,2,866,0,,,0,864,864,0,864
Kolhapur,,,KAGAL,273,,89,565,0,1,566,0,,,0,565,565,0,565
Kolhapur,,,KAGAL,273,,90,1158,0,4,1162,0,,,0,1158,1158,0,1158
Kolhapur,,,KAGAL,273,,92,929,0,4,933,0,,,0,929,929,0,929
Kolhapur,,,KAGAL,273,,93,804,0,0,804,0,,,0,804,804,0,804
Kolhapur,,,KAGAL,273,,94,1047,0,2,1049,0,,,0,1047,1047,0,1047
Kolhapur,,,KAGAL,273,,95,1061,0,0,1061,0,,,0,1061,1061,0,1061
Kolhapur,,,KAGAL,273,,96,1028,0,2,1030,0,,,0,1028,1028,0,1028
Kolhapur,,,KAGAL,273,,97,896,0,1,897,0,,,0,896,896,0,896
Kolhapur,,,KAGAL,273,,98,748,0,2,750,0,,,0,748,748,0,748
Kolhapur,,,KAGAL,273,,99,945,0,4,949,0,,,0,945,945,0,945
Kolhapur,,,KAGAL,273,,100,909,0,4,913,0,,,0,909,909,0,909
Kolhapur,,,KAGAL,273,,101,717,0,2,719,0,,,0,718,718,0,718
Kolhapur,,,KAGAL,273,,102,730,0,3,733,0,,,0,730,730,0,730
Kolhapur,,,KAGAL,273,,103,760,0,1,761,0,,,0,760,760,0,760
Kolhapur,,,KAGAL,273,,104,508,0,1,509,0,,,0,508,508,0,508
Kolhapur,,,KAGAL,273,,105,1018,0,0,1018,0,,,0,1018,1018,0,1018
Kolhapur,,,KAGAL,273,,106,1098,0,3,1101,0,,,0,1098,1098,0,1098
Kolhapur,,,KAGAL,273,,107,477,0,0,477,0,,,0,477,477,0,477
Kolhapur,,,KAGAL,273,,108,788,0,3,791,0,,,0,788,788,0,788
Kolhapur,,,KAGAL,273,,109,1052,0,3,1055,0,,,0,1052,1052,0,1052
Kolhapur,,,KAGAL,273,,110,1062,0,2,1064,0,,,0,1062,1062,0,1062
Kolhapur,,,KAGAL,273,,111,955,0,0,955,0,,,0,955,955,0,955
Kolhapur,,,KAGAL,273,,112,973,0,1,974,0,,,0,973,973,0,973
Kolhapur,,,KAGAL,273,,113,1024,0,3,1027,0,,,0,1024,1024,0,1024
Kolhapur,,,KAGAL,273,,114,918,0,2,920,0,,,0,918,918,0,918
Kolhapur,,,KAGAL,273,,115,610,0,0,610,0,,,0,610,610,0,610
Kolhapur,,,KAGAL,273,,116,701,0,1,702,0,,,0,701,701,0,701
Kolhapur,,,KAGAL,273,,117,958,0,0,958,0,,,0,958,958,0,958
Kolhapur,,,KAGAL,273,,118,819,0,1,820,0,,,0,819,819,0,819
Kolhapur,,,KAGAL,273,,119,946,0,1,947,0,,,0,946,946,0,946
Kolhapur,,,KAGAL,273,,120,903,0,1,904,0,,,0,903,903,0,903
Kolhapur,,,KAGAL,273,,121,865,0,0,865,0,,,0,865,865,0,865
Kolhapur,,,KAGAL,273,,122,991,0,1,992,0,,,0,991,991,0,991
Kolhapur,,,KAGAL,273,,123,1003,0,0,1003,0,,,0,1003,1003,0,1003
Kolhapur,,,KAGAL,273,,124,1112,0,1,1113,0,,,0,1112,1112,0,1112
Kolhapur,,,KAGAL,273,,125,688,0,1,689,0,,,0,688,688,0,688
Kolhapur,,,KAGAL,273,,126,643,0,0,643,0,,,0,643,643,0,643
Kolhapur,,,KAGAL,273,,127,573,0,0,573,0,,,0,573,573,0,573
Kolhapur,,,KAGAL,273,,128,926,0,2,928,0,,,0,926,926,0,926
Kolhapur,,,KAGAL,273,,129,986,0,2,988,0,,,0,986,986,0,986
Kolhapur,,,KAGAL,273,,130,689,0,3,692,0,,,0,689,689,0,689
Kolhapur,,,KAGAL,273,,131,626,0,0,626,0,,,0,626,626,0,626
Kolhapur,,,KAGAL,273,,132,750,0,1,751,0,,,0,750,750,0,750
Kolhapur,,,KAGAL,273,,133,1000,0,2,1002,0,,,0,1000,1000,0,1000
Kolhapur,,,KAGAL,273,,134,891,0,1,892,0,,,0,891,891,0,891
Kolhapur,,,KAGAL,273,,135,1010,0,1,1011,0,,,0,1009,1009,0,1009
Kolhapur,,,KAGAL,273,,136,844,0,3,847,0,,,0,771,771,0,771
Kolhapur,,,KAGAL,273,,137,840,0,4,844,0,,,0,802,802,0,802
Kolhapur,,,KAGAL,273,,138,897,0,4,901,0,,,0,925,925,0,925
Kolhapur,,,KAGAL,273,,139,833,0,1,834,0,,,0,813,813,0,813
Kolhapur,,,KAGAL,273,,140,709,0,1,710,0,,,0,818,818,0,818
Kolhapur,,,KAGAL,273,,141,1012,0,4,1016,0,,,0,845,845,0,845
Kolhapur,,,KAGAL,273,,142,1103,0,4,1107,0,,,0,1131,1131,0,1131
Kolhapur,,,KAGAL,273,,143,705,0,3,708,0,,,0,847,847,0,847
Kolhapur,,,KAGAL,273,,144,1092,0,2,1094,0,,,0,895,895,0,895
Kolhapur,,,KAGAL,273,,145,986,0,2,988,0,,,0,1050,1050,0,1050
Kolhapur,,,KAGAL,273,,146,1063,0,9,1072,0,,,0,966,966,0,966
Kolhapur,,,KAGAL,273,,147,996,0,1,997,0,,,0,1041,1041,0,1041
Kolhapur,,,KAGAL,273,,148,934,0,2,936,0,,,0,893,893,0,893
Kolhapur,,,KAGAL,273,,149,711,0,5,716,0,,,0,889,889,0,889
Kolhapur,,,KAGAL,273,,150,718,0,2,720,0,,,0,638,638,0,638
Kolhapur,,,KAGAL,273,,151,1098,0,2,1100,0,,,0,1015,1015,0,1015
Kolhapur,,,KAGAL,273,,152,824,0,0,824,0,,,0,977,977,0,977
Kolhapur,,,KAGAL,273,,153,1063,0,2,1065,0,,,0,1000,1000,0,1000
Kolhapur,,,KAGAL,273,,154,713,0,0,713,0,,,0,861,861,0,861
Kolhapur,,,KAGAL,273,,155,537,0,0,537,0,,,0,634,634,0,634
Kolhapur,,,KAGAL,273,,156,728,0,1,729,0,,,0,665,665,0,665
Kolhapur,,,KAGAL,273,,157,641,0,3,644,0,,,0,705,705,0,705
Kolhapur,,,KAGAL,273,,158,869,0,0,869,0,,,0,584,584,0,584
Kolhapur,,,KAGAL,273,,159,634,0,1,635,0,,,0,839,839,0,839
Kolhapur,,,KAGAL,273,,160,697,0,2,699,0,,,0,667,667,0,667
