District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Gondiya,,,Tirora,64,,1,463,0,0,463,0,,,0,466,466,0,466
Gondiya,,,Tirora,64,,2,641,0,0,641,0,,,0,630,630,0,630
Gondiya,,,Tirora,64,,3,684,0,0,684,0,,,0,695,695,0,695
Gondiya,,,Tirora,64,,4,406,0,0,406,0,,,0,406,406,0,406
Gondiya,,,Tirora,64,,5,660,0,1,660,0,,,0,670,670,0,670
Gondiya,,,Tirora,64,,6,732,0,1,732,0,,,0,714,714,0,714
Gondiya,,,Tirora,64,,7,565,0,0,565,0,,,0,565,565,0,565
Gondiya,,,Tirora,64,,8,558,0,1,558,0,,,0,541,541,0,541
Gondiya,,,Tirora,64,,9,467,0,0,467,0,,,0,462,462,0,462
Gondiya,,,Tirora,64,,10,467,0,1,467,0,,,0,470,470,0,470
Gondiya,,,Tirora,64,,11,706,0,0,706,0,,,0,686,686,0,686
Gondiya,,,Tirora,64,,12,438,0,0,438,0,,,0,449,449,0,449
Gondiya,,,Tirora,64,,13,453,0,0,453,0,,,0,437,437,0,437
Gondiya,,,Tirora,64,,14,656,0,0,656,0,,,0,616,616,0,616
Gondiya,,,Tirora,64,,15,479,0,2,479,0,,,0,474,474,0,474
Gondiya,,,Tirora,64,,16,509,0,2,509,0,,,0,491,491,0,491
Gondiya,,,Tirora,64,,17,672,0,0,672,0,,,0,666,666,0,666
Gondiya,,,Tirora,64,,18,689,0,0,689,0,,,0,680,680,0,680
Gondiya,,,Tirora,64,,19,684,0,0,0,0,,,0,683,683,0,683
Gondiya,,,Tirora,64,,20,757,0,0,0,0,,,0,748,748,0,748
Gondiya,,,Tirora,64,,21,798,0,0,0,0,,,0,775,775,0,775
Gondiya,,,Tirora,64,,22,766,0,0,0,0,,,0,766,766,0,766
Gondiya,,,Tirora,64,,23,913,0,0,0,0,,,0,893,893,0,893
Gondiya,,,Tirora,64,,24,775,0,0,0,0,,,0,755,755,0,755
Gondiya,,,Tirora,64,,25,550,0,0,0,0,,,0,546,546,0,546
Gondiya,,,Tirora,64,,26,625,0,0,0,0,,,0,623,623,0,623
Gondiya,,,Tirora,64,,27,563,0,0,0,0,,,0,544,544,0,544
Gondiya,,,Tirora,64,,28,441,0,0,0,0,,,0,409,409,0,409
Gondiya,,,Tirora,64,,29,664,0,0,0,0,,,0,655,655,0,655
Gondiya,,,Tirora,64,,30,419,0,0,0,0,,,0,432,432,0,432
Gondiya,,,Tirora,64,,31,385,0,0,0,0,,,0,378,378,0,378
Gondiya,,,Tirora,64,,32,520,0,0,0,0,,,0,514,514,0,514
Gondiya,,,Tirora,64,,33,636,0,0,0,0,,,0,620,620,0,620
Gondiya,,,Tirora,64,,34,650,0,0,0,0,,,0,644,644,0,644
Gondiya,,,Tirora,64,,35,512,0,0,0,0,,,0,512,512,0,512
Gondiya,,,Tirora,64,,36,693,0,0,0,0,,,0,676,676,0,676
Gondiya,,,Tirora,64,,37,468,0,0,0,0,,,0,458,458,0,458
Gondiya,,,Tirora,64,,38,841,0,0,0,0,,,0,841,841,0,841
Gondiya,,,Tirora,64,,39,776,0,0,0,0,,,0,755,755,0,755
Gondiya,,,Tirora,64,,40,809,0,0,0,0,,,0,803,803,0,803
Gondiya,,,Tirora,64,,41,621,0,0,0,0,,,0,616,616,0,616
Gondiya,,,Tirora,64,,42,830,0,0,0,0,,,0,804,804,0,804
Gondiya,,,Tirora,64,,43,874,0,0,0,0,,,0,827,827,0,827
