District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Nashik,,,Malegaon Central,114,,1,826,3,3,829,0,,,0,826,826,0,826
Nashik,,,Malegaon Central,114,,2,887,1,1,888,0,,,0,887,887,0,887
Nashik,,,Malegaon Central,114,,3,730,1,1,731,0,,,0,730,730,0,730
Nashik,,,Malegaon Central,114,,4,656,4,4,660,0,,,0,656,656,0,656
Nashik,,,Malegaon Central,114,,5,670,0,0,670,0,,,0,669,669,0,669
Nashik,,,Malegaon Central,114,,6,867,5,5,872,0,,,0,868,868,0,868
Nashik,,,Malegaon Central,114,,7,922,6,6,928,0,,,0,922,922,0,922
Nashik,,,Malegaon Central,114,,8,956,1,1,957,0,,,0,956,956,0,956
Nashik,,,Malegaon Central,114,,9,879,6,6,885,0,,,0,879,879,0,879
Nashik,,,Malegaon Central,114,,10,523,2,2,525,0,,,0,523,523,0,523
Nashik,,,Malegaon Central,114,,11,647,0,0,647,0,,,0,647,647,0,647
Nashik,,,Malegaon Central,114,,12,535,1,1,536,0,,,0,538,538,0,538
Nashik,,,Malegaon Central,114,,13,631,0,0,631,0,,,0,631,631,0,631
Nashik,,,Malegaon Central,114,,14,619,1,1,620,0,,,0,619,619,0,619
Nashik,,,Malegaon Central,114,,15,813,1,1,814,0,,,0,812,812,0,812
Nashik,,,Malegaon Central,114,,16,671,2,2,673,0,,,0,672,672,0,672
Nashik,,,Malegaon Central,114,,17,931,4,4,935,0,,,0,931,931,0,931
Nashik,,,Malegaon Central,114,,18,830,5,5,835,0,,,0,830,830,0,830
Nashik,,,Malegaon Central,114,,19,759,4,4,763,0,,,0,759,759,0,759
Nashik,,,Malegaon Central,114,,20,912,3,3,915,0,,,0,911,911,0,911
Nashik,,,Malegaon Central,114,,21,863,3,3,866,0,,,0,863,863,0,863
Nashik,,,Malegaon Central,114,,22,891,4,4,895,0,,,0,891,891,0,891
Nashik,,,Malegaon Central,114,,23,565,0,0,565,0,,,0,566,566,0,566
Nashik,,,Malegaon Central,114,,24,647,0,0,647,0,,,0,647,647,0,647
Nashik,,,Malegaon Central,114,,25,581,16,0,581,0,,,0,580,580,0,580
Nashik,,,Malegaon Central,114,,26,723,0,5,723,0,,,0,721,721,0,721
Nashik,,,Malegaon Central,114,,27,724,3,3,727,0,,,0,723,723,0,723
Nashik,,,Malegaon Central,114,,28,483,0,0,483,0,,,0,480,480,0,480
Nashik,,,Malegaon Central,114,,29,753,2,2,755,0,,,0,752,752,0,752
Nashik,,,Malegaon Central,114,,30,413,0,0,413,0,,,0,414,414,0,414
Nashik,,,Malegaon Central,114,,31,796,2,2,798,0,,,0,795,795,0,795
Nashik,,,Malegaon Central,114,,32,818,4,4,822,0,,,0,817,817,0,817
Nashik,,,Malegaon Central,114,,33,953,4,4,957,0,,,0,954,954,0,954
Nashik,,,Malegaon Central,114,,34,625,0,0,625,0,,,0,624,624,0,624
Nashik,,,Malegaon Central,114,,35,797,1,1,798,0,,,0,795,795,0,795
Nashik,,,Malegaon Central,114,,36,766,1,1,767,0,,,0,765,765,0,765
Nashik,,,Malegaon Central,114,,37,491,2,2,493,0,,,0,491,491,0,491
Nashik,,,Malegaon Central,114,,38,574,1,1,575,0,,,0,574,574,0,574
Nashik,,,Malegaon Central,114,,39,787,2,2,789,0,,,0,786,786,0,786
Nashik,,,Malegaon Central,114,,40,683,0,0,683,0,,,0,683,683,0,683
Nashik,,,Malegaon Central,114,,41,633,1,1,634,0,,,0,628,628,0,628
Nashik,,,Malegaon Central,114,,42,676,2,2,678,0,,,0,678,678,0,678
Nashik,,,Malegaon Central,114,,43,632,2,2,634,0,,,0,551,551,0,551
