District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Palghar,,,Vikramgad (ST),129,,1,461,12,0,473,0,,,0,468,468,0,468
Palghar,,,Vikramgad (ST),129,,2,967,38,0,1005,0,,,0,946,946,0,946
Palghar,,,Vikramgad (ST),129,,3,932,0,0,1032,0,,,0,933,933,0,933
Palghar,,,Vikramgad (ST),129,,4,900,20,0,920,0,,,0,900,900,0,900
Palghar,,,Vikramgad (ST),129,,5,880,10,0,980,0,,,0,879,879,0,879
Palghar,,,Vikramgad (ST),129,,6,524,6,0,530,0,,,0,510,510,0,510
Palghar,,,Vikramgad (ST),129,,7,889,0,0,499,0,,,0,871,871,0,871
Palghar,,,Vikramgad (ST),129,,8,489,10,0,499,0,,,0,490,490,0,490
Palghar,,,Vikramgad (ST),129,,9,991,24,0,1015,0,,,0,991,991,0,991
Palghar,,,Vikramgad (ST),129,,10,707,15,0,722,0,,,0,724,724,0,724
Palghar,,,Vikramgad (ST),129,,11,848,0,24,872,0,,,0,757,757,0,757
Palghar,,,Vikramgad (ST),129,,12,630,13,0,643,0,,,0,634,634,0,634
Palghar,,,Vikramgad (ST),129,,13,350,10,0,360,0,,,0,394,394,0,394
Palghar,,,Vikramgad (ST),129,,14,452,8,0,463,0,,,0,475,475,0,475
Palghar,,,Vikramgad (ST),129,,15,460,6,0,466,0,,,0,468,468,0,468
Palghar,,,Vikramgad (ST),129,,16,653,10,0,663,0,,,0,687,687,0,687
Palghar,,,Vikramgad (ST),129,,17,547,6,0,554,0,,,0,522,522,0,522
Palghar,,,Vikramgad (ST),129,,18,883,11,0,894,0,,,0,966,966,0,966
Palghar,,,Vikramgad (ST),129,,19,770,14,0,784,0,,,0,759,759,0,759
Palghar,,,Vikramgad (ST),129,,20,701,17,0,718,0,,,0,631,631,0,631
Palghar,,,Vikramgad (ST),129,,21,939,57,0,996,0,,,0,908,908,0,908
Palghar,,,Vikramgad (ST),129,,22,775,36,0,811,0,,,0,775,775,0,775
Palghar,,,Vikramgad (ST),129,,23,490,12,0,502,0,,,0,530,530,0,530
Palghar,,,Vikramgad (ST),129,,24,692,17,0,709,0,,,0,689,689,0,689
Palghar,,,Vikramgad (ST),129,,25,618,9,0,631,0,,,0,593,593,0,593
Palghar,,,Vikramgad (ST),129,,26,644,9,0,653,0,,,0,656,656,0,656
Palghar,,,Vikramgad (ST),129,,27,428,13,0,441,0,,,0,479,479,0,479
Palghar,,,Vikramgad (ST),129,,28,540,17,0,557,0,,,0,544,544,0,544
Palghar,,,Vikramgad (ST),129,,29,0,0,0,0,0,,,0,0,0,0,0
Palghar,,,Vikramgad (ST),129,,30,822,4,0,826,0,,,0,366,366,0,366
Palghar,,,Vikramgad (ST),129,,31,673,5,0,678,0,,,0,308,308,0,308
Palghar,,,Vikramgad (ST),129,,32,614,8,0,622,0,,,0,310,310,0,310
Palghar,,,Vikramgad (ST),129,,33,926,13,0,939,0,,,0,581,581,0,581
Palghar,,,Vikramgad (ST),129,,34,844,6,0,850,0,,,0,535,535,0,535
Palghar,,,Vikramgad (ST),129,,35,1180,19,0,1199,0,,,0,487,487,0,487
Palghar,,,Vikramgad (ST),129,,36,702,19,0,721,0,,,0,526,526,0,526
Palghar,,,Vikramgad (ST),129,,37,706,17,0,723,0,,,0,504,504,0,504
Palghar,,,Vikramgad (ST),129,,38,592,13,0,605,0,,,0,335,335,0,335
Palghar,,,Vikramgad (ST),129,,39,385,6,0,391,0,,,0,154,154,0,154
Palghar,,,Vikramgad (ST),129,,40,590,5,0,595,0,,,0,507,507,0,507
Palghar,,,Vikramgad (ST),129,,41,343,8,0,351,0,,,0,132,132,0,132
